분류,주기능,상세 기능,설명,우선 순위,비고,레퍼런스
1. 회원관리,1.1 회원가입,1.1.1 카카오톡 회원가입,카카오톡으로 로그인,하,"- 회원가입 시 바로 초대코드 페이지로 이동, 이미 그룹이 있으면 그룹 페이지로 이동",
,"1.2 로그인, 로그아웃",1.2.1 로그인,이미 회원이면 로그인,상,"- 로그인 시 바로 초대코드 페이지로 이동, 이미 그룹이 있으면 그룹 페이지로 이동",
,,1.2.2 로그아웃,로그아웃을 함,상,,
2. 손글씨,2.1 손글씨 폰트화,2.1.1 손글씨 작성 템플릿 업로드,48자+@ 작성한 템플릿 업로드,상,- 모델에 따라 템플릿은 변경될 수 있음,
,,2.1.2손글씨 작성 템플릿 다운로드,템플릿 다운로드,상,,
,,2.1.3 폰트 생성하기,폰트체 이름을 지정하여 생성,상,"- 생성된 날짜도 같이 저장함
- 폰트를 생성하지 않을 경우, 폰트가 수정되는경우 기본 폰트 사용으로 대체됨 ",
,2.2 손글씨 관리,2.2.1 폰트 조회하기,폰트 조회하기,상,- 내가 만든 폰트 조회하기(추후 그룹 폰트 조회로 확장 가능성),
,,2.2.2 폰트 다운로드,폰트 다운로드,하,폰트를 다운로드,
,2.3 관리자 페이지,2.3.1 폰트 생성 요청 확인,"폰트 생성 요청을 확인하고 수락/거절 가능, 거절 시 사용자에게 알림 전송",상,,
,,2.3.2 만들어진 폰트 업로드,"만들어진 사용자 폰트를 업로드, 사용자에게 알림 전송",상,,
3. 그룹,3.1 그룹 생성,3.1.1 그룹 생성하기,가족 그룹을 생성함,상,"그룹명, 그룹 대표 이미지 입력",오순도순 그룹생성 페이지 참조
,,"3.1.2 그룹 초대하기 ",가족 그룹에 초대함,상,"그룹 코드를 생성(8자, 숫자)
유효기간(24시간, 24시간 이내 초대 코드 재생성 불가)",
,,3.1.3 그룹 정보 수정하기,가족 그룹 정보를 수정함,중,"그룹명, (이미지) 수정함",오순도순 가족명 수정 및 초대하기
,3.2 그룹 가입,"3.2.1 그룹 가입하기 ",초대 코드를 통해 그룹에 가입함,상,"그룹 가입시 생년월일(양, 음력), 성별, 이름, 전화번호 입력 받음",
,3.3 앨범,3.3.1 앨범 생성,앨범을 생성함,상,"- 앨범 이름
- 대표 이미지는 가장 먼저 등록한 이미지로 기본 설정",
,,3.3.2 앨범 수정,"앨범 이름, 대표이미지 수정",중,이름과 대표 이미지 수정 가능,
,,3.3.3 앨범 검색,앨범 이름을 기준으로 검색,하,,
,,3.3.4 사진 전체 보기,최신 업로드 순으로 사진 보기,하,전체 화면에 모든 사진들이 최신순으로 보임,
,,3.3.5 사진 선택,"앨범 내 사진을 선택하여 삭제, 이동",중,사진을 선택하여 앨범이동 또는 삭제,
,3.4 사진,3.4.1 사진 업로드,사진을 업로드 함,상,업로드시 앨범을 선택하여 저장함,
,,3.4.2 사진 상세 조회,사진에 등록된 감상평을 볼 수 있음,상,,
,,3.4.3 사진 감상평,사진 뒤에 감상평을 작성,상,"- 각자의 폰트를 이용하여 작성함
- 음성으로도 작성 가능함",
,3.5 일정 업로드,3.5.1 일정 추가,캘린더에 일정 추가,상,반복되는 일정(ex 생일)인지 일회성 일정(ex 여행)인지 선택,
,,3.5.2 일정 수정,일정을 수정,하,,
,,3.5.3 일정 삭제,일정을 삭제,하,,
,,3.5.4 일정과 앨범 연결,앨범과 기념일을 연결,중,일정에서 앨범을 누르면 해당 앨범으로 이동,
,3.6 회원정보 수정,3.6.1 회원정보 수정,회원 정보를 수정함,중,"생년월일(양, 음력), 성별, 이름, 전화번호 수정이 가능함",
4. 편지,4.1  편지작성,4.1.1 텍스트 편지 작성,텍스트로 편지를 작성,상,각자의 폰트를 이용하여 작성함,
,,4.1.2 음성 편지 작성,음성으로 편지를 작성,중,각자의 음성을 이용하여 작성함,
,,4.1.3 편지 보내기,편지를 전송함,상,,
,,4.1.4 타임캡슐,지정한 날짜에 편지를 연람할 수 있도록 제한,중,열람할 수 있는 날짜 지정함,
,,4.1.5 편지 알림,편지 도착 알림,중,편지가 도착하면 알림,
,4.2 편지 조회,4.2.1 편지 목록,받은 편지 목록,상,,
,,4.2.2 편지 상세 조회,받은 편지 상세 조회,상,"- 각자의 폰트를 이용하여 작성함
- 음성으로도 작성 가능함",